diary_name,strain,strains_company,light_watt,nutrients,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,likes,comments,views,bud_dry_weight,bud_wet_weight
The Making Of Magic Melon,Magic Melon,Dark Heart Nursery,"LED / 48W Custom,LED / 28W Custom,","Growth Science,Botanicare,Bio Tabs,",,"Soil Grow Medium,",,,,8,,18,11,2269,,
The Raising of Romulan,Romulan,Dark Heart Nursery,76 watt,"Growth Science,Botanicare,Bio Tabs,",,"Soil Grow Medium,",,"LST,Defoliation,",,9,,14,17,630,,
Auto Orange Bud By Dutch Passion,Auto Orange Bud,Dutch Passion,310 watt,"BioBizz,",Manual,"Biobizz light mix Grow Medium,",Glass Of Water,,1,8,1,1,1,272,330,66
MARS HYDRO FC-E3000 GHE TEST1,HighCloudZ,Green House Seed Co.,300 watt,"Aptus,Green House Feeding,General Hydroponics (GHE),",Manual,,,"Defoliation,HST,",0.4,20,2,45,19,2367,532,2300
Random Autos,Blueberry Cheese Auto,Barney'S Farm,300 watt,"Real Growers,General Hydroponics (GHE),Botanicare,Down To Earth,",Manual,"Soil Grow Medium,",Paper Towel,,,14,,38,7,1230,,
MARS HYDRO FC-E3000 GHE TEST 2,AlienZ,Green House Seed Co.,300 watt,"Aptus,Green House Feeding,",Manual,,Glass Of Water,"HST,LST,Defoliation,ScrOG,",0.4,20,2,25,22,804,243,1200
BCN Critical XXL auto 4 Solo cup,BCN Critical XXL Autoflower,Seedstockers,200 watt,,Hydroponics,"Coco Coir Grow Medium,",Directly In Substrate,"Topping,LST,Defoliation,",0.05,13,1,9,11,1124,16,108
"Runtz, Critical and Amnesia",Mr Q runtz,Custom Breeder & Strain,220 watt,"Top Crop,Mills Nutrients,",Manual,"humus Grow Medium,Coco Coir Grow Medium,mycorrhiza Grow Medium,diatomaceous earth Grow Medium,trichoderma Grow Medium,Perlite Grow Medium,",Paper Towel,"Topping,Defoliation,LST,",1,31,1,10,6,509,36,60
Manderine XL Auto de Ganja Farmer,Mandarine XL Auto,Ganja Farmer Seeds,105 watt,"Dutchpro USA,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Defoliation,",Custom,12,1,18,16,261,62,
Wedding Cake Auto - Dynomyco,Wedding Cake Auto,Barney'S Farm,300 watt,"BIOCANNA,Dynomyco,BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"Defoliation,",1,10,1,263,141,1217,43,
Critical Kush Auto - Dynomyco,Critical Kush Auto,Barney'S Farm,300 watt,"BIOCANNA,Dynomyco,BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"Defoliation,",1,10,1,308,155,1627,54,
Royal Critical,Critical,Royal Queen Seeds,"LED / 100W Mars TS 600,LED / 450W Mars TS 3000,","Advanced Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Peat Pellet,"LST,HST,",,14,1,6,5,603,45,185
Bubble OG Gum @ Ganja Farmer,Bubble OG Gum,Ganja Farmer Seeds,600 watt,"Growth Technology,Advanced Nutrients,Advanced Hydroponics of Holland,",Drip,"Perlite Grow Medium,Expanded Clay Grow Medium,",Paper Towel,"Defoliation,FIMing,LST,ScrOG,",1.2,14,4,113,54,1822,1001,3000
Blue Cheese Automatic,Blue Cheese Automatic,Royal Queen Seeds,,"Advanced Nutrients,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,,,12,2,8,5,438,,181
Lemon kix 200w SF—2000,Auto Lemon Kix (Auto Lemon Zkittle),Dutch Passion,450 watt,"Advanced Nutrients,BioBizz,Advanced Hydroponics of Holland,",Manual,"Phantom Growtents Phantom Deluxe Diamond 120,Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"Main-Lining,Defoliation,LST,",1.44,13,7,7,0,267,500,1500
Lemon Haze Auto Expert Seeds,Lemon Haze Auto,Expert Seeds,250 watt,"BioBizz,",Manual,"Soil Grow Medium,",,"LST,",Custom,11,,1,1,123,,
cali og,og,Custom Breeder & Strain,,,Manual,,,"HST,Main-Lining,",,12,,2,2,774,,
Red pure auto,Red Pure Auto CBD,Sweet Seeds,"LED / 600W Custom,","Green House Feeding,Atami,",Manual,,Paper Towel,"Defoliation,SoG,",,11,28,62,25,859,,
"GOING LOCO, DOWN IN......",Acapulco Gold Autoflower,MSNL,140 watt,"Gen1:11,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Defoliation,LST,",,13,1,166,40,737,71,
Gorilla Cookies Auto by Fastbuds,Gorilla Cookies Auto,Fast Buds,150 watt,"General Hydroponics (GHE),",Manual,"Soil Grow Medium,",Directly In Substrate,"LST,",7.62,14,3,32,4,1226,187.11,0.28
Frambo 4 sweet seeds testing TS1000,Tropicanna Poison XL Auto,Sweet Seeds,150 watt,"Bio Tabs,Atami,",Manual,"Soil Grow Medium,",Paper Towel,,0.8,9,1,128,45,488,15,400
Gorilla Glue #4,Gorilla Glue #4,Original Sensible Seeds,480 watt,,,"AC Infinity Cloudlab 743D Advance Grow Tent 4x3 (48"" X 36"" X 72""),Expanded Clay Grow Medium,",Peat Pellet,,0.9,0,2,0,2,164,,
"wedding cake, killer buds, nyc diesel",Auto NYC Diesel,Advanced Seeds,1000 watt,"PLAGRON.,",Manual,"Coco Coir Grow Medium,",,,,8,1,6,3,171,,123
Mad Science,Durban Poison,Custom Breeder & Strain,"LED / 240W XS2000,","Dr. Earth,Fox Farm,",Manual,"Soil Grow Medium,Other Grow Medium,",Other,"Main-Lining,Defoliation,",,15,3,18,8,761,,170
Gold Digger(GDP x Trophy Wife),SurfrSeeds - Gold Digger (GDP x Trophy Wife),Custom Breeder & Strain,200 watt,,Manual,"Soil Grow Medium,",,,,8,,4,0,100,,
Fenos Seleccionados y Hunting de Radical,Radical Juice,Ripper Seeds,550 watt,,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Other Grow Medium,",,"SoG,ScrOG,Topping,Defoliation,",2,13,32,9,2,560,,580
Critical+2.0 Auto by Seedsman,Seedsman - Critical+2.0 Auto,Custom Breeder & Strain,,,Manual,"Soil Grow Medium,Perlite Grow Medium,Rice hulls Grow Medium,",,"FIMing,Topping,",,FLOWERING,,4,0,202,,
GreenSeeds-CBD26:1 compolti x lemon kush,Green Seeds - CBD 26:1 ratio (Compolti x Lemon Kush),Custom Breeder & Strain,900 watt,"General Hydroponics (GHE),",Manual,"BloomGrow GT 48''X24''X72'',Soil Grow Medium,Perlite Grow Medium,Worm castings Grow Medium,",Other,"Topping,12-12 From Seed,",,20,,18,11,233,,
Ethos Crescendo,Crescendo RBX1,ETHOS Genetics,300 watt,,Manual,"Pro mix hp Grow Medium,",Other,,,9,,10,5,567,,
Gary’s Eyez Photo period,Seed Junky Genetics - Gary’s Eyez,Custom Breeder & Strain,760 watt,"New Millenium,General Hydroponics (GHE),FloraFlex,Terpinator,",Manual,"AC Infinity Cloudlab 844 Advance Grow Tent 4x4 (48"" X 48"" X 80""),Coco Coir Grow Medium,Perlite Grow Medium,",,"ScrOG,Topping,LST,Defoliation,",1.22,11,1,14,4,548,,
Putang by Mass Medical,PuTang,Mass Medical Strains,760 watt,"General Hydroponics (GHE),Aurora Innovations (Roots Organics),FloraFlex,Terpinator,",Manual,"AC Infinity Cloudlab 844 Advance Grow Tent 4x4 (48"" X 48"" X 80""),Coco Coir Grow Medium,Perlite Grow Medium,",,,1.22,11,1,4,2,236,,
Grape Skunk,Grape Skunk,Quebec Cannabis Seeds QCS,150 watt,"Advanced Nutrients,General Hydroponics (GHE),Terpinator,",Manual,"sunshine mix Grow Medium,",Glass Of Water,"Defoliation,",1.52,12,1,19,5,1103,,
Flap Jacks 2.0 Photoperiod,Flap Jacks,In House Genetics,760 watt,"New Millenium,General Hydroponics (GHE),FloraFlex,Terpinator,",Manual,"AC Infinity Cloudlab 844 Advance Grow Tent 4x4 (48"" X 48"" X 80""),Coco Coir Grow Medium,Perlite Grow Medium,",,"ScrOG,Topping,LST,Defoliation,",1.22,11,1,2,1,733,,
Roji OG,Roji OGS,Quebec Cannabis Seeds QCS,150 watt,"Advanced Nutrients,General Hydroponics (GHE),Terpinator,",Manual,"sunshine mix Grow Medium,",Glass Of Water,"Defoliation,",1.52,12,1,1,2,841,,
Hash Plant,Ethos Hash Plant BX1,ETHOS Genetics,300 watt,"Gaia Green,General Hydroponics (GHE),",Manual,"BloomGrow GT 48''X24''X72'',Soil Grow Medium,Perlite Grow Medium,Worm castings Grow Medium,",Other,"Topping,",,22,,22,10,778,,
Lemon OG Kush,Lemon OG Kush,Quebec Cannabis Seeds QCS,150 watt,"Advanced Nutrients,General Hydroponics (GHE),Terpinator,",Manual,"sunshine mix Grow Medium,",Glass Of Water,"Defoliation,",1.52,12,1,1,1,899,,
Bloody Skunk Auto (Red Family),Bloody Skunk Auto®,Sweet Seeds,"LED / 450W Custom,LED / 100W Custom,","Fox Farm,Gaia Green,",Manual,"Soil Grow Medium,",Paper Towel,"LST,Defoliation,",6,11,1,28,31,640,,
Upside down cake - dwc,Pineapple Upside Down Cake,Humboldt Seed Company,100 watt,"J.R. Peters, Inc.,",Hydroponics,"Expanded Clay Grow Medium,",Paper Towel,"DWC,Topping,LST,ScrOG,FIMing,",,10,,8,7,481,,
Grow tent 3,Lambs Breath Autoflower,Crop King Seeds,450 watt,"Fish Head Farms,Remo Nutrients,",Hydroponics,"Mineral Wool Grow Medium,",Rockwool Cube,"LST,",Custom,13,,5,4,313,,
North Thunderfuck - Farm #11,North Thunderfuck Automatic,Royal Queen Seeds,174 watt,"RQS Organic Nutrients,PLAGRON.,",Manual,"Soil Grow Medium,",Directly In Substrate,"Defoliation,",0.72,11,2,69,5,897,106,
"Automaticas Psycho Mix ""BSF""",AK XXL Auto,BSF Seeds,,"Top Crop,Grotek,",Manual,"Coco Coir Grow Medium,Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,",,10,1,28,14,705,,270
Critical 2.0/Blue Dream Auto !#420J,Blue Dream Auto,Garden Of Green,"LED / 150W (×2) VS1500,LED / 150W (×2) VS1500,",,Manual,"Soil Grow Medium,Coco Coir Grow Medium,Perlite Grow Medium,",,"HST,LST,Defoliation,",,FLOWERING,,7,0,241,,
Chocolate Heaven,Chocolate Heaven,G13 Labs,240 watt,,Manual,"Soil Grow Medium,Perlite Grow Medium,Hydroton Pebbles Grow Medium,Biochar Grow Medium,Alfafa meal Grow Medium,Kelp meal Grow Medium,Guano Grow Medium,Neem meal Grow Medium,Volcanic rock dust Grow Medium,Gypsum Grow Medium,",,"Defoliation,LST,Topping,",0.19,16,1,6,6,283,241,141
konguette III syg'jeleüvœu,Gorilla Cookies Auto,Fast Buds,55 watt,"BioBizz,",Drip,"Soil Grow Medium,",Paper Towel,"LST,Defoliation,",0.16,12,1,48,41,684,29.15,
Berry Queen,Strawberry Eclair,G13 Labs,260 watt,"Gaia Green,",Manual,"Soil Grow Medium,",,"Defoliation,Main-Lining,LST,Topping,",2.44,17,1,70,16,536,,
SintrexGrow North Thunderfuck Autoflower,North Thunderfuck Automatic,Royal Queen Seeds,,"BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Rockwool Cube,"12-12 From Seed,Defoliation,",,12,1,23,9,792,90,
Critical Autopot,Critical,Royal Queen Seeds,480 watt,"Gold Label,",Hydroponics,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"Topping,LST,Defoliation,HST,",0.1,13,1,100,16,1199,91.2,
Granny grow - Royal Bluematic,Royal Bluematic,Royal Queen Seeds,600 watt,"RQS Organic Nutrients,BioBizz,",Manual,"light mix Grow Medium,",Directly In Substrate,"Defoliation,LST,",,16,1,36,19,1309,14.4,
First try of reveg. With a clone.,Da Critical,Philosopher Seeds,150 watt,"Hesi,BioBizz,Advanced Nutrients,General Hydroponics (GHE),",Manual,"Coco Coir Grow Medium,",Rockwool Cube,"Defoliation,ScrOG,Reveg,Main-Lining,Topping,",0.55,18,,45,18,484,57.5,1
Purple Queen RQS Autopot,Purple Queen,Royal Queen Seeds,480 watt,"Gold Label,Growth Technology,",Hydroponics,"Coco Coir Grow Medium,Perlite Grow Medium,",,,0.2,14,2,92,17,1249,64,64
Marshydro GT 4'*4'*6'5 - Biscotti x Purp,Biscotti croisé purple punch,Custom Breeder & Strain,150 watt,"Growth Technology,Green House Feeding,Advanced Nutrients,",,"Soil Grow Medium,Vermiculite Grow Medium,Perlite Grow Medium,Bat guano Grow Medium,HumusLombric Grow Medium,Trichodermas arsinum ghe Grow Medium,Air dôme Grow Medium,",Rockwool Cube,"Defoliation,Topping,ScrOG,HST,",0.55,17,1,37,24,426,113,100
Stawnana purps,Strawberry Banana Purps Auto,Ganja Farmer Seeds,140 watt,"Gen1:11,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"LST,Defoliation,",,12,1,122,51,336,42,
Run 4 WAX,Banana Purple Punch Auto,Fast Buds,300 watt,"RQS Organic Nutrients,BioBizz,General Hydroponics (GHE),Advanced Hydroponics of Holland,",Manual,"Soil Grow Medium,Coco Coir Grow Medium,",,,0.72,12,2,52,19,1406,176,
Auto (Glueberry O.G.) (Skywalker Haze),Auto Skywalker Haze,Dutch Passion,600 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,"LST,",7,13,2,1,1,138,,
Mexican Airlines Auto,Mexican Airlines Auto,Fast Buds,150 watt,"General Hydroponics (GHE),Terra Power,",Manual,"Coco Coir Grow Medium,Vermiculite Grow Medium,",Other,"LST,Defoliation,",Custom,11,2,21,5,396,158,158
Gorila Zkittlez,Gorilla Zkittlez Auto,Fast Buds,300 watt,"BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Topping,LST,",,11,1,30,11,1320,,
Blue Sunset Sherbert x 2,Blue Sunset Sherbert,Barney'S Farm,310 watt,"Monkey Nutrients,Advanced Nutrients,",Manual,"Biobizz allmix Grow Medium,",Paper Towel,,,14,2,78,22,930,,45
Rynos grow tent,Gelato Auto,Herbies Seeds,600 watt,"Cronk Nutrients,True Plant Science (TPS),Fish Head Farms,Mammoth Microbes,Aurora Innovations (Roots Organics),",Manual,"AC Infinity Cloudlab 844 Advance Grow Tent 4x4 (48"" X 48"" X 80""),Coco Coir Grow Medium,Perlite Grow Medium,",,,1.22,11,1,11,9,716,,85.05
Grimace,Purple Punch,ILGM,1080 watt,"Bio Diesel Nutrients,",Manual,"Gorilla Grow Tent GGT 2x4,Coco Coir Grow Medium,Coco chips Grow Medium,",,"HST,LST,Defoliation,Topping,",0.84,15,2,99,29,570,793.79,3401.94
Mimosa Cake Auto,Mimosa Cake Auto,Fast Buds,200 watt,,Manual,"Promix-HP Grow Medium,Worm castings Grow Medium,",Directly In Substrate,,,2,1,0,0,151,,
juary's closet,Blackberry Gum,Seedstockers,100 watt,,Manual,"Soil Grow Medium,Perlite Grow Medium,",,,1,11,1,1,0,87,,160
Pre 98 Bubba & Dirty Blonde,Pre-98 Bubba,Twenty20,650 watt,"General Hydroponics (GHE),",Manual,"Soil Grow Medium,",Paper Towel,"Topping,Defoliation,",1.52,12,4,17,11,530,,340.19
Strawberry gelatti,Strawberry gelatti,SinCity Seeds,,"Oregon’s Only (Nectar for the Gods),Fish Head Farms,South Cascade Organics,",,,,"Defoliation,LST,Topping,",30.48,13,3,17,8,347,210,
Watermelon Zkittles X Velvet Moon - GHS,AlienZ,Green House Seed Co.,730 watt,"Growth Technology,Canna,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,,2.32,17,4,45,22,1390,,1022
FBT2302,FBT2302,Fast Buds,150 watt,,Manual,"Soil Grow Medium,",Glass Of Water,"LST,",0.61,7,1,5,3,127,,28.35
FBT2306,FBT2306,Fast Buds,150 watt,"Real Growers,",Manual,"Soil Grow Medium,",Glass Of Water,,0.61,8,1,7,5,305,,28.35
Shkiper kush,OG Kush,Custom Breeder & Strain,400 watt,,,"Soil Grow Medium,",,"LST,ScrOG,",1,15,1,3,0,109,,442
Original Chemdawg Auto,Chemdawg Auto,Fast Buds,600 watt,"BIOCANNA,Cronk Nutrients,",Manual,"Soil Grow Medium,",,"Topping,",,12,1,115,67,813,130,
Dreams of a White Xmas,Auto American Pie,Pyramid Seeds,250 watt,"Aurora Innovations (Roots Organics),",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Paper Towel,"LST,Defoliation,",0.98,11,1,29,7,359,,
Super Orange Haze (Mephisto Genetics),Super Orange Haze,Mephisto Genetics,"LED / 100W (×2) Custom,LED / 450W Custom,","Fox Farm,",Manual,"Soil Grow Medium,",Glass Of Water,"LST,Defoliation,",,12,1,26,8,445,25.9,32
RQS Northern Lights Automatic (Freebie),Northern Light Automatic,Royal Queen Seeds,95 watt,"Advanced Nutrients,Vitalink,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Directly In Substrate,"LST,Defoliation,",0.37,18,1,66,22,1311,,334
Ochopintre Auto |,Ochopintre Auto,Caucasian Seeds,240 watt,,Manual,"Soil Grow Medium,",,,Green Box,10,1,2,0,25,56,55
Anesia//marshydro//imperiumX,IMPERIUM X®,Anesia Seeds,480 watt,"RQS Organic Nutrients,",Manual,"Soil Grow Medium,",Directly In Substrate,"12-12 From Seed,HST,Defoliation,",,12,1,281,70,1264,,
The high chameleon//marshydro//mendo t,Mendo T,The High Chameleon,480 watt,"RQS Organic Nutrients,",Manual,"Soil Grow Medium,Coco Coir Grow Medium,Rqs nutrients Grow Medium,",,"12-12 From Seed,HST,Defoliation,",,12,1,214,54,576,,
Grease Monkey x Cartel Runtz,Grease Monkey x Cartel Runtz,Custom Breeder & Strain,250 watt,"Agrobacterias,Terranabis,",Manual,,,"LST,Topping,",,5,,3,0,35,,
Purple Punch,Purple Punch Auto,Fast Buds,680 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,",Glass Of Water,"Defoliation,LST,",0.6,9,1,63,33,1245,235,1427
TRprogrower...,Northern Light,Royal Queen Seeds,960 watt,"Canna,Advanced Nutrients,",Drip,"Coco Coir Grow Medium,Expanded Clay Grow Medium,",Directly In Substrate,"ScrOG,LST,Topping,Main-Lining,Defoliation,",2.9,17,6,32,4,878,,
TRprogrower... (ROYALQUEEN Gelato Coo.),Cookies Gelato,Royal Queen Seeds,1600 watt,"Canna,Advanced Nutrients,",Drip,"Coco Coir Grow Medium,Expanded Clay Grow Medium,",Directly In Substrate,"ScrOG,Topping,LST,Main-Lining,Defoliation,",4.5,18,8,108,22,1947,,
Jack Herer Legal Marijuana in Thailand,Jack Herer Auto,Fast Buds,1210 watt,"Advanced Nutrients,",Hydroponics,"Mineral Wool Grow Medium,",Rockwool Cube,"LST,",2.8,13,,11,7,682,500,450
Gorilla Sherbet F1,Gorilla Sherbet F1 Fast Version,Sweet Seeds,240 watt,"Cyco Platinum Series,Green House Feeding,",Manual,"Soil Grow Medium,",Paper Towel,"Topping,LST,",1,13,4,30,5,917,,
Sweet Skunk #2,Sweet Skunk Fast Version®,Sweet Seeds,240 watt,"Cyco Platinum Series,Green House Feeding,",Manual,"Soil Grow Medium,",Paper Towel,"Topping,LST,",1,13,2,20,6,351,,
First indoor autoflowers,Gorilla Cookies Auto,Fast Buds,240 watt,,Manual,"Soil Grow Medium,",,"LST,Defoliation,",,12,4,102,47,690,,170
White Runtz,white runtz,Custom Breeder & Strain,200 watt,"Advanced Nutrients,",,"Soil Grow Medium,",,"LST,",,12,,6,2,257,121,
Auto flowering,Blackberry Auto,Fast Buds,300 watt,"General Hydroponics (GHE),",Hydroponics,"Other Grow Medium,",,"LST,Defoliation,",Custom,8,1,2,1,69,,385
Gelato auto,Gelato Auto,Fast Buds,310 watt,,Manual,"Mineral Wool Grow Medium,Soil Grow Medium,",Rockwool Cube,,0.7,9,1,139,42,928,35,60
Grapes and Cream (PhinestCannabis),Cannarado Genetics - Grapes and cream by PHINEST CANNABIS,Custom Breeder & Strain,200 watt,,Manual,"CoolGrows 32″X 32″X 63″ Indoor Hydroponics Mylar Grow Tent Room For Plant Growing,Soil Grow Medium,",,,,8,,4,0,113,,
Candy kush express (fast flowering),Candy Kush Express,Royal Queen Seeds,150 watt,"Canna,Top Crop,Advanced Nutrients,Mammoth Microbes,BioBizz,",Manual,"Soil Grow Medium,",Paper Towel,"LST,FIMing,ScrOG,Defoliation,",0.8,11,1,23,7,395,,
1° indoor 4 cepas,Unknown Kush,Delicious Seeds,250 watt,"Top Crop,BioBizz,Mammoth Microbes,Advanced Nutrients,Terranabis,",Manual,"Soil Grow Medium,",,"Defoliation,",0.8,11,,35,3,512,,
Og kush auto,Og kush auto senoma seeds,Custom Breeder & Strain,100 watt,"Fox Farm,Botanicare,",Manual,"Soil Grow Medium,",Paper Towel,"LST,Defoliation,",,10,1,2,0,76,,190
Testing some dank for GHSC,Caramel Apple Gelato X Gelato #41,Green House Seed Co.,"LED / 480W FC-E 4800,",,Manual,,Paper Towel,"ScrOG,Topping,Defoliation,",,24,,124,12,962,,
Pink Rozay x strawberry banana,Pink Rozay x Strawberry Banana Auto,Original Sensible Seeds,"LED / 300W SE3000,","Athena,",Manual,"CoolGrows GT 48x48x80,Soil Grow Medium,",Paper Towel,"Defoliation,",4,10,1,20,5,290,,
SoMango,Auto Sweet Soma,00seeds,356 watt,"Element Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,,,11,,1,1,121,,
Big in Japan - Shogun(RQS),Shogun,Royal Queen Seeds,100 watt,"BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"FIMing,Defoliation,LST,Topping,Main-Lining,",0.4,28,1,41,3,366,30,120
Purple haze auto fem,Purple Haze Auto,Original Sensible Seeds,600 watt,"BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Directly In Substrate,"LST,Defoliation,",0.45,13,1,54,20,669,,30
Second run,Auto Blueberry,00seeds,400 watt,"Hesi,PLAGRON.,",Manual,"Plagron Lightmix Grow Medium,",Directly In Substrate,"LST,ScrOG,Topping,Defoliation,",1,18,1,15,3,1000,,1300
Gorilla Cookies Auto,Gorilla Cookies Auto,Fast Buds,750 watt,,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",Directly In Substrate,,,9,1,33,18,654,,
Bulk Seed Bank Auto Grow,Auto Cocopopo,BulkSeedBank,750 watt,,Manual,"Soil Grow Medium,Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",Directly In Substrate,,,12,1,18,21,488,,
Autos Vaco,White Widow Automatic,White Label,300 watt,"PLAGRON.,",Manual,"Soil Grow Medium,",,"LST,",1,10,1,34,6,575,,
Apple Fritter Auto x3,Apple Fritter Automatic,Zamnesia Seeds,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,12,2,46,3,455,,140
Pink Rozay Auto x3,Pink Rozay Automatic,Zamnesia Seeds,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,12,3,42,16,754,,280
Emerald Fire OG Auto x3,Emerald Fire OG Auto,Humboldt Seed Company,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,12,2,10,5,744,,191
Anesia2022//marshydro//metrop,Tahiti Vibez Auto,Anesia Seeds,300 watt,"Metrop,",Manual,"Soil Grow Medium,",Glass Of Water,"HST,Defoliation,",,10,1,216,45,739,112,
Greenhouse2022//marshydro//metrop,Kings Juice Auto,Green House Seed Co.,300 watt,"Metrop,",Manual,"Soil Grow Medium,",Glass Of Water,"HST,Defoliation,",,10,1,241,46,853,122,
Original sensible2022//marshydro//metrop,Pink Rozay x Strawberry Banana Auto,Original Sensible Seeds,300 watt,"Metrop,",Manual,"Soil Grow Medium,",Glass Of Water,"HST,Defoliation,Stress hydrique,",,10,1,224,47,770,118,
SIMONJG11,Fastbuds gorilla glue fastbuds skittles,Custom Breeder & Strain,310 watt,,Manual,"My own organic mix Grow Medium,Soil Grow Medium,",,"LST,",,9,,11,3,217,,
Sugar Bomb Punch,Sugar Bomb Punch,Dutch Passion,240 watt,"Cyco Platinum Series,Green House Feeding,",Manual,"Soil Grow Medium,",Paper Towel,"Topping,LST,",1,13,4,11,3,248,,
Cookies haze kannabia (first indoor),Cookies Haze,Kannabia Seed Company,250 watt,"Canna,Top Crop,Mammoth Microbes,BioBizz,Advanced Nutrients,",Manual,"Soil Grow Medium,",,"FIMing,Defoliation,LST,ScrOG,",0.8,15,1,53,17,661,,
Sour stomper,Sour Stomper,Mephisto Genetics,480 watt,"Fish Head Farms,",Manual,"Soil Grow Medium,",,"LST,",Custom,12,1,16,16,494,,79.38
CRITICAL XXL BSF EXTERIOR EN CHILE,Critical +2 XXL Auto,BSF Seeds,,"BioBizz,",Manual,"ligh mix bio bizz Grow Medium,",Paper Towel,"12-12 From Seed,LST,",,10,2,4,2,327,,270
MİMOSA CAKE AUTO,Mimosa Cake Auto,Fast Buds,,,Manual,,,"Defoliation,",,FLOWERING,,4,1,565,,
gorilla cookies auto (fast buds),Gorilla Cookies Auto,Fast Buds,1000 watt,"Nulife Technologies,Superthrive,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,"Topping,",,11,1,19,32,528,20.13,20
Black Frozen,Frozen Black Cherry,Anesia Seeds,390 watt,"BioBizz,Hesi,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"Topping,Defoliation,",0.8,17,1,24,17,2386,74,
Blackberry auto - fastbuds,Blackberry Auto,Fast Buds,310 watt,,Manual,"Batmix Grow Medium,Lightmix Grow Medium,",,,1,8,2,1,1,97,,20
CALAMITY JANE,Calamity Jane,Buddha Seeds,310 watt,"Top Crop,",Manual,"Soil Grow Medium,Coco Coir Grow Medium,",Paper Towel,"HST,Defoliation,",Custom,10,14,15,9,508,415,5000
Gush Mints,Gush Mints,Purple City Genetics,200 watt,,Manual,"CoolGrows 32″X 32″X 63″ Indoor Hydroponics Mylar Grow Tent Room For Plant Growing,Soil Grow Medium,Perlite Grow Medium,",,"LST,ScrOG,",0.91,18,2,15,3,630,,240
Forbidden Runtz,Forbidden Runtz Auto,Fast Buds,650 watt,"Gaia Green,",Manual,"AC Infinity Cloudlab 866 Advance Grow Tent 5x5 (60"" X 60"" X 80""),Other Grow Medium,",,,7.62,9,2,30,10,1063,3373.59,243.81
RQS Autumn Cup Purple Queen Auto,Purple Queen Automatic,Royal Queen Seeds,150 watt,"RQS Organic Nutrients,Canna,",Manual,"Soil Grow Medium,",Peat Pellet,"Topping,LST,Defoliation,",0.25,14,1,25,13,506,46.7,239
Moby Dick Auto,Moby Dick Auto,Barney'S Farm,100 watt,"BioBizz,",Manual,"Freedom Farms Grow Medium,",Directly In Substrate,"LST,Defoliation,",0.64,14,1,17,8,952,90,120
Dos Si Dos Auto,Dos Si Dos Auto,Barney'S Farm,100 watt,"BioBizz,",Manual,,Paper Towel,"LST,Defoliation,",0.64,15,1,13,5,786,50,89
Zkittlez OG Auto,Zkittlez OG Auto,Barney'S Farm,"LED / 100W Custom,","BioBizz,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Defoliation,",0.64,16,1,68,25,3074,122,122
GRC x BBC in autopots,GRC x BBC,Custom Breeder & Strain,300 watt,"Remo Nutrients,",Hydroponics,"Coco Coir Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Flush,Topping,Supercropping,ScrOG,Defoliation,",2.44,14,2,18,10,1270,120,
FASTBUDS CHERRY COLA,Cherry Cola Auto,Fast Buds,150 watt,,Manual,"Soil Grow Medium,",Glass Of Water,"LST,Defoliation,",Custom,12,1,22,8,583,68.5,70.87
